"","sciname","FoodI","FoodII","FoodIII","Commoness","PredatorStage","SpecCode"
"290","Ctenolabrus rupestris","zoobenthos","worms","polychaetes",NA,"juv./adults",61
"291","Ctenolabrus rupestris","zoobenthos","worms","polychaetes",NA,"juv./adults",61
"292","Ctenolabrus rupestris","zoobenthos","worms","polychaetes",NA,"juv./adults",61
"293","Ctenolabrus rupestris","zoobenthos","worms","polychaetes",NA,"juv./adults",61
"294","Ctenolabrus rupestris","zoobenthos","worms","polychaetes",NA,"juv./adults",61
"295","Ctenolabrus rupestris","zoobenthos","worms","polychaetes",NA,"juv./adults",61
"296","Ctenolabrus rupestris","zoobenthos","worms","polychaetes",NA,"juv./adults",61
"297","Cymolutes lecluse","nekton","finfish","bony fish",NA,"juv./adults",6081
"298","Diproctacanthus xanthurus","zoobenthos","cnidarians","hard corals",NA,"adults",5108
"299","Epibulus insidiator","nekton","finfish","bony fish",23.8,"juv./adults",5606
"300","Epibulus insidiator","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5606
"301","Eupetrichthys angustipes","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",47037
"302","Gomphosus caeruleus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",7744
"303","Halichoeres bivittatus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",3660
"304","Halichoeres brasiliensis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",61031
"305","Halichoeres chierchiae","zoobenthos","benth. crust.","crabs",NA,"juv./adults",13839
"306","Halichoeres chierchiae","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",13839
"307","Halichoeres chierchiae","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",13839
"308","Halichoeres chierchiae","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",13839
"309","Halichoeres chloropterus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",4859
"310","Halichoeres chloropterus","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",4859
"311","Halichoeres chloropterus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",4859
"312","Halichoeres cyanocephalus","nekton","finfish","bony fish",NA,"juv./adults",3662
"313","Halichoeres cyanocephalus","zoobenthos","benth. crust.","isopods",NA,"recruits/juv.",3662
"314","Halichoeres cyanocephalus","zoobenthos","benth. crust.","benth. copepods",NA,"recruits/juv.",3662
"315","Halichoeres dispilus","nekton","finfish","bony fish",NA,"adults",8208
"316","Halichoeres dispilus","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",8208
"317","Halichoeres garnoti","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",3663
"318","Halichoeres hortulanus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",12663
"319","Halichoeres hortulanus","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",12663
"320","Halichoeres hortulanus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",12663
"321","Halichoeres leucurus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",56811
"322","Halichoeres maculipinna","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",3664
"323","Halichoeres margaritaceus","nekton","finfish","bony fish",NA,"juv./adults",5630
"324","Halichoeres margaritaceus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5630
"325","Halichoeres margaritaceus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5630
"326","Halichoeres margaritaceus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5630
"327","Halichoeres margaritaceus","zoobenthos","worms","polychaetes",NA,"juv./adults",5630
"328","Halichoeres margaritaceus","zooplankton","fish (early stages)","fish eggs/larvae",NA,"juv./adults",5630
"329","Halichoeres melanotis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",13845
"330","Halichoeres melasmapomus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",4856
"331","Halichoeres nicholsi","nekton","finfish","bony fish",NA,"juv./adults",13846
"332","Halichoeres nicholsi","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",13846
"333","Halichoeres notospilus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",8330
"334","Halichoeres notospilus","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",8330
"335","Halichoeres notospilus","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",8330
"336","Halichoeres ornatissimus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",6664
"337","Halichoeres ornatissimus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",6664
"338","Halichoeres pictus","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",3665
"339","Halichoeres radiatus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",1068
"340","Halichoeres scapularis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5633
"341","Halichoeres semicinctus","plants","other plants","benthic algae/weeds",NA,"juv./adults",3667
"342","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"343","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"344","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"345","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"346","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"347","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"348","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"349","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"350","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"351","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"352","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"353","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"354","Halichoeres semicinctus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3667
"355","Halichoeres semicinctus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",3667
"356","Halichoeres semicinctus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",3667
"357","Halichoeres semicinctus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",3667
"358","Halichoeres semicinctus","zoobenthos","benth. crust.","ostracods",NA,"juv./adults",3667
"359","Halichoeres semicinctus","zoobenthos","benth. crust.","ostracods",NA,"juv./adults",3667
"360","Halichoeres semicinctus","zoobenthos","benth. crust.","ostracods",NA,"juv./adults",3667
"361","Halichoeres semicinctus","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",3667
"362","Halichoeres semicinctus","zoobenthos","echinoderms","n.a./other echinoderms",NA,"juv./adults",3667
"363","Halichoeres semicinctus","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",3667
"364","Halichoeres semicinctus","zoobenthos","mollusks","bivalves",NA,"juv./adults",3667
"365","Halichoeres semicinctus","zoobenthos","mollusks","bivalves",NA,"juv./adults",3667
"366","Halichoeres semicinctus","zoobenthos","mollusks","bivalves",NA,"juv./adults",3667
"367","Halichoeres semicinctus","zoobenthos","mollusks","bivalves",NA,"juv./adults",3667
"368","Halichoeres semicinctus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",3667
"369","Halichoeres semicinctus","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",3667
"370","Halichoeres semicinctus","zoobenthos","worms","polychaetes",NA,"juv./adults",3667
"371","Halichoeres semicinctus","zoobenthos","worms","polychaetes",NA,"juv./adults",3667
"372","Halichoeres semicinctus","zoobenthos","worms","polychaetes",NA,"juv./adults",3667
"373","Halichoeres socialis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",60288
"374","Halichoeres solorensis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",11622
"375","Halichoeres trimaculatus","nekton","finfish","bony fish",NA,"juv./adults",5634
"376","Halichoeres trimaculatus","nekton","finfish","n.a./other finfish",NA,"juv./adults",5634
"377","Halichoeres trimaculatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5634
"378","Halichoeres trimaculatus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",5634
"379","Halichoeres trimaculatus","zoobenthos","benth. crust.","benth. copepods",NA,"recruits/juv.",5634
"380","Halichoeres trimaculatus","zoobenthos","benth. crust.","crabs",NA,"juv./adults",5634
"381","Halichoeres trimaculatus","zoobenthos","benth. crust.","crabs",NA,"juv./adults",5634
"382","Halichoeres trimaculatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"recruits/juv.",5634
"383","Halichoeres trimaculatus","zoobenthos","benth. crust.","stomatopods",NA,"juv./adults",5634
"384","Halichoeres trimaculatus","zoobenthos","mollusks","bivalves",NA,"juv./adults",5634
"385","Halichoeres trimaculatus","zoobenthos","mollusks","chitons",NA,"juv./adults",5634
"386","Halichoeres trimaculatus","zoobenthos","worms","n.a./other annelids",NA,"recruits/juv.",5634
"387","Halichoeres trimaculatus","zoobenthos","worms","polychaetes",NA,"juv./adults",5634
"388","Halichoeres trimaculatus","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",5634
"389","Hemigymnus fasciatus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5635
"390","Hemigymnus fasciatus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5635
"391","Hemigymnus melapterus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5636
"392","Hemigymnus melapterus","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",5636
"393","Hemigymnus melapterus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5636
"394","Hemigymnus melapterus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5636
"395","Hemigymnus melapterus","zoobenthos","worms","polychaetes",NA,"juv./adults",5636
"396","Hologymnosus annulatus","nekton","finfish","bony fish",NA,"juv./adults",5637
"397","Hologymnosus doliatus","nekton","finfish","bony fish",NA,"juv./adults",5638
"398","Hologymnosus doliatus","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",5638
"399","Hologymnosus doliatus","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",5638
"400","Hologymnosus doliatus","zoobenthos","worms","polychaetes",NA,"juv./adults",5638
"401","Iniistius pavo","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"adults",5613
"402","Iniistius pavo","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5613
"403","Iniistius pavo","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5613
"404","Iniistius pentadactylus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",7747
"405","Iniistius pentadactylus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",7747
"406","Labrichthys unilineatus","zoobenthos","cnidarians","hard corals",NA,"adults",5109
"407","Labrichthys unilineatus","zoobenthos","cnidarians","hard corals",NA,"juv./adults",5109
"408","Labroides bicolor","nekton","finfish","bony fish",NA,"juv./adults",5650
"409","Labroides bicolor","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5650
"410","Labroides dimidiatus","nekton","finfish","bony fish",NA,"juv./adults",5459
"411","Labroides dimidiatus","nekton","finfish","bony fish",NA,"juv./adults",5459
"412","Labroides dimidiatus","zoobenthos","benth. crust.","isopods",NA,"juv./adults",5459
"413","Labroides dimidiatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5459
"414","Labroides dimidiatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5459
"415","Labroides pectoralis","nekton","finfish","bony fish",NA,"juv./adults",5651
"416","Labroides pectoralis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5651
"417","Labroides phthirophagus","nekton","finfish","bony fish",NA,"juv./adults",7765
"418","Labroides phthirophagus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",7765
"419","Labropsis alleni","zoobenthos","cnidarians","hard corals",NA,"adults",4863
"420","Labropsis australis","nekton","finfish","bony fish",NA,"recruits/juv.",4868
"421","Labropsis australis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"recruits/juv.",4868
"422","Labropsis australis","zoobenthos","cnidarians","n.a./other polyps",NA,"adults",4868
"423","Labropsis manabei","zoobenthos","cnidarians","hard corals",NA,"juv./adults",4866
"424","Labropsis manabei","zoobenthos","cnidarians","hard corals",NA,"adults",4866
"425","Labropsis xanthonota","others","others","n.a./others",NA,"juv./adults",4865
"426","Labropsis xanthonota","zoobenthos","cnidarians","n.a./other polyps",NA,"adults",4865
"427","Labrus bergylta","nekton","finfish","bony fish",8.2,"juv./adults",572
"428","Labrus bergylta","plants","other plants","benthic algae/weeds",69.4,"juv./adults",572
"429","Labrus bergylta","zoobenthos","benth. crust.","amphipods",40.8,"juv./adults",572
"430","Labrus bergylta","zoobenthos","benth. crust.","crabs",NA,"juv./adults",572
"431","Labrus bergylta","zoobenthos","benth. crust.","crabs",NA,"juv./adults",572
"432","Labrus bergylta","zoobenthos","benth. crust.","crabs",NA,"juv./adults",572
"433","Labrus bergylta","zoobenthos","benth. crust.","isopods",14.3,"juv./adults",572
"434","Labrus bergylta","zoobenthos","benth. crust.","lobsters",NA,"juv./adults",572
"435","Labrus bergylta","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",572
"436","Labrus bergylta","zoobenthos","benth. crust.","ostracods",8.2,"juv./adults",572
"437","Labrus bergylta","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",572
"438","Labrus bergylta","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",572
"439","Labrus bergylta","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",572
"440","Labrus bergylta","zoobenthos","mollusks","bivalves",75.5,"juv./adults",572
"441","Labrus bergylta","zoobenthos","mollusks","gastropods",NA,"juv./adults",572
"442","Labrus bergylta","zoobenthos","mollusks","gastropods",NA,"juv./adults",572
"443","Labrus bergylta","zoobenthos","mollusks","gastropods",NA,"juv./adults",572
"444","Labrus bergylta","zoobenthos","mollusks","gastropods",NA,"juv./adults",572
"445","Labrus bergylta","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",572
"446","Labrus bergylta","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",36.7,"juv./adults",572
"447","Labrus bergylta","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",16.3,"juv./adults",572
"448","Labrus bergylta","zoobenthos","sponges/tunicates","ascidians",8.2,"juv./adults",572
"449","Labrus bergylta","zoobenthos","worms","polychaetes",53.1,"juv./adults",572
"450","Labrus bergylta","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",572
"451","Labrus merula","zoobenthos","benth. crust.","crabs",NA,"juv./adults",4582
"452","Labrus merula","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",4582
"453","Labrus merula","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",4582
"454","Labrus merula","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",4582
"455","Labrus merula","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",4582
"456","Labrus merula","zoobenthos","worms","n.a./other annelids",NA,"juv./adults",4582
"457","Labrus mixtus","nekton","finfish","bony fish",NA,"juv./adults",1375
"458","Labrus mixtus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",1375
"459","Labrus mixtus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",1375
"460","Labrus viridis","nekton","finfish","bony fish",NA,"juv./adults",51659
"461","Labrus viridis","zoobenthos","benth. crust.","crabs",NA,"juv./adults",51659
"462","Labrus viridis","zoobenthos","benth. crust.","isopods",NA,"juv./adults",51659
"463","Labrus viridis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",51659
"464","Labrus viridis","zoobenthos","echinoderms","n.a./other echinoderms",NA,"juv./adults",51659
"465","Labrus viridis","zoobenthos","worms","polychaetes",NA,"juv./adults",51659
"466","Lappanella fasciata","zoobenthos","benth. crust.","crabs",NA,"juv./adults",22513
"467","Lappanella fasciata","zoobenthos","mollusks","gastropods",NA,"juv./adults",22513
"468","Lappanella fasciata","zoobenthos","worms","polychaetes",NA,"juv./adults",22513
"469","Larabicus quadrilineatus","zoobenthos","cnidarians","hard corals",NA,"adults",25788
"470","Leptojulis cyanopleura","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",10576
"471","Leptojulis polylepis","nekton","finfish","bony fish",NA,"juv./adults",26289
"472","Leptojulis polylepis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",26289
"473","Leptojulis polylepis","zoobenthos","worms","polychaetes",NA,"juv./adults",26289
"474","Leptojulis urostigma","nekton","finfish","bony fish",NA,"juv./adults",26288
"475","Leptojulis urostigma","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",26288
"476","Leptojulis urostigma","zoobenthos","worms","polychaetes",NA,"juv./adults",26288
"477","Macropharyngodon bipartitus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",7801
"478","Macropharyngodon bipartitus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",7801
"479","Macropharyngodon geoffroy","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",7767
"480","Macropharyngodon geoffroy","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",7767
"481","Minilabrus striatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",25781
"482","Notolabrus cinctus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",46873
"483","Notolabrus cinctus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",46873
"484","Notolabrus fucicola","zoobenthos","benth. crust.","crabs",NA,"juv./adults",14422
"485","Notolabrus fucicola","zoobenthos","mollusks","gastropods",NA,"juv./adults",14422
"486","Novaculichthys taeniourus","zoobenthos","benth. crust.","crabs",NA,"adults",5610
"487","Novaculichthys taeniourus","zoobenthos","echinoderms","n.a./other echinoderms",NA,"adults",5610
"488","Novaculichthys taeniourus","zoobenthos","echinoderms","sea urchins",NA,"adults",5610
"489","Novaculichthys taeniourus","zoobenthos","mollusks","bivalves",NA,"adults",5610
"490","Novaculichthys taeniourus","zoobenthos","mollusks","chitons",NA,"juv./adults",5610
"491","Novaculichthys taeniourus","zoobenthos","mollusks","gastropods",NA,"adults",5610
"492","Novaculichthys taeniourus","zoobenthos","worms","polychaetes",NA,"adults",5610
"493","Novaculoides macrolepidotus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",5609
"494","Novaculoides macrolepidotus","zoobenthos","benth. crust.","crabs",NA,"juv./adults",5609
"495","Novaculoides macrolepidotus","zoobenthos","benth. crust.","isopods",NA,"juv./adults",5609
"496","Novaculoides macrolepidotus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5609
"497","Ophthalmolepis lineolata","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",56982
"498","Oxycheilinus arenatus","nekton","finfish","bony fish",NA,"juv./adults",5595
"499","Oxycheilinus arenatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5595
"500","Oxycheilinus arenatus","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",5595
"501","Oxycheilinus bimaculatus","zoobenthos","benth. crust.","crabs",NA,"juv./adults",5596
"502","Oxycheilinus bimaculatus","zoobenthos","benth. crust.","crabs",NA,"juv./adults",5596
"503","Oxycheilinus bimaculatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5596
"504","Oxycheilinus bimaculatus","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",5596
"505","Oxycheilinus bimaculatus","zoobenthos","mollusks","gastropods",NA,"juv./adults",5596
"506","Oxycheilinus digramma","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5599
"507","Oxycheilinus orientalis","nekton","finfish","bony fish",NA,"juv./adults",5601
"508","Oxycheilinus orientalis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5601
"509","Oxycheilinus orientalis","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",5601
"510","Oxycheilinus unifasciatus","nekton","finfish","bony fish",NA,"adults",5605
"511","Oxycheilinus unifasciatus","zoobenthos","benth. crust.","shrimps/prawns",NA,"adults",5605
"512","Oxyjulis californica","plants","other plants","benthic algae/weeds",NA,"juv./adults",3670
"513","Oxyjulis californica","zoobenthos","mollusks","gastropods",NA,"juv./adults",3670
"514","Oxyjulis californica","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",3670
"515","Oxyjulis californica","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",3670
"516","Oxyjulis californica","zooplankton","fish (early stages)","fish eggs/larvae",NA,"juv./adults",3670
"517","Paracheilinus angulatus","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",4845
"518","Paracheilinus bellae","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",25765
"519","Paracheilinus carpenteri","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",4843
"520","Paracheilinus filamentosus","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",4844
"521","Paracheilinus lineopunctatus","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",4841
"522","Paracheilinus mccoskeri","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",4842
"523","Paracheilinus octotaenia","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",4840
"524","Polylepion russelli","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",13040
"525","Pseudocheilinops ataenia","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",5615
"526","Pseudocheilinops ataenia","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5615
"527","Pseudocheilinus evanidus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5616
"528","Pseudocheilinus hexataenia","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",5617
"529","Pseudocheilinus octotaenia","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5618
"530","Pseudocheilinus octotaenia","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",5618
"531","Pseudocheilinus octotaenia","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5618
"532","Pseudocoris aurantiofasciata","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",25783
"533","Pseudocoris bleekeri","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",59631
"534","Pseudocoris heteroptera","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",11620
"535","Pseudocoris ocellata","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",27078
"536","Pseudocoris yamashiroi","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5639
"537","Pseudodax moluccanus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5594
"538","Pseudodax moluccanus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5594
"539","Pseudolabrus biserialis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",46934
"540","Pseudolabrus guentheri","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",13155
"541","Pseudolabrus japonicus","plants","phytoplankton","n.a./other phytoplankton",NA,"juv./adults",12795
"542","Pseudolabrus japonicus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",12795
"543","Pseudolabrus japonicus","zoobenthos","cnidarians","n.a./other polyps",NA,"juv./adults",12795
"544","Pseudolabrus japonicus","zoobenthos","mollusks","bivalves",NA,"juv./adults",12795
"545","Pseudolabrus japonicus","zoobenthos","mollusks","gastropods",NA,"juv./adults",12795
"546","Pseudolabrus japonicus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",12795
"547","Pseudolabrus japonicus","zoobenthos","sponges/tunicates","sponges",NA,"juv./adults",12795
"548","Pseudolabrus japonicus","zoobenthos","worms","n.a./other annelids",NA,"juv./adults",12795
"549","Pseudolabrus japonicus","zoobenthos","worms","non-annelids",NA,"juv./adults",12795
"550","Pseudolabrus japonicus","zoobenthos","worms","polychaetes",NA,"juv./adults",12795
"551","Pseudolabrus sieboldi","plants","phytoplankton","n.a./other phytoplankton",NA,"juv./adults",57440
"552","Pseudolabrus sieboldi","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",57440
"553","Pseudolabrus sieboldi","zoobenthos","echinoderms","n.a./other echinoderms",NA,"juv./adults",57440
"554","Pseudolabrus sieboldi","zoobenthos","mollusks","bivalves",NA,"juv./adults",57440
"555","Pseudolabrus sieboldi","zoobenthos","mollusks","gastropods",NA,"juv./adults",57440
"556","Pteragogus cryptus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5620
"557","Pteragogus flagellifer","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",8022
"558","Semicossyphus darwini","zoobenthos","benth. crust.","crabs",1.23,"juv./adults",12859
"559","Semicossyphus darwini","zoobenthos","benth. crust.","crabs",1.23,"juv./adults",12859
"560","Semicossyphus darwini","zoobenthos","benth. crust.","crabs",0.61,"juv./adults",12859
"561","Semicossyphus darwini","zoobenthos","benth. crust.","crabs",1.23,"juv./adults",12859
"562","Semicossyphus darwini","zoobenthos","benth. crust.","crabs",1.23,"juv./adults",12859
"563","Semicossyphus darwini","zoobenthos","benth. crust.","crabs",0.61,"juv./adults",12859
"564","Semicossyphus darwini","zoobenthos","benth. crust.","n.a./other benth. crustaceans",5.55,"juv./adults",12859
"565","Semicossyphus darwini","zoobenthos","benth. crust.","n.a./other benth. crustaceans",0.61,"juv./adults",12859
"566","Semicossyphus darwini","zoobenthos","benth. crust.","shrimps/prawns",1.33,"juv./adults",12859
"567","Semicossyphus darwini","zoobenthos","echinoderms","sea stars/brittle stars",1.85,"juv./adults",12859
"568","Semicossyphus darwini","zoobenthos","echinoderms","sea urchins",2.46,"juv./adults",12859
"569","Semicossyphus darwini","zoobenthos","mollusks","bivalves",11.11,"juv./adults",12859
"570","Semicossyphus darwini","zoobenthos","mollusks","bivalves",1.85,"juv./adults",12859
"571","Semicossyphus darwini","zoobenthos","mollusks","bivalves",4.32,"juv./adults",12859
"572","Semicossyphus darwini","zoobenthos","mollusks","bivalves",10.49,"juv./adults",12859
