"","sciname","SpecCode","IUCN_Code","Resilience","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","LongevityWild","Vulnerability","Length","CommonLength","Weight","Importance","PriceCateg","PriceReliability","Aquarium","AquariumFishII","Comments"
"120","Choerodon vitta",10853,"LC","Medium","fusiform / normal","demersal",10,40,NA,28.88,20,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits flat sandy or weedy areas."
"121","Choerodon zamboangae",10548,"LC","Medium","fusiform / normal","reef-associated",25,60,NA,43.8,45,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Found on deep outer reef habitats; flat sandy or weedy areas.  Rarely seen by diving and is usually caught on lines from deep water (Ref. 48636).  Usually found solitary, in rubble bottoms near seaward reefs.  <i>C. melanostigma</i> is a junior synonym (Ref. 90102)."
"122","Choerodon zosterophorus",51738,"LC","Medium","fusiform / normal","demersal",10,40,NA,31.97,25,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found on semi-open sandy substrates along reefs, often in deep channels to lagoons that are prone to strong tidal currents and where seawhips thrive (Ref. 48636)."
"123","Cirrhilabrus adornatus",56636,"LC","High","fusiform / normal","reef-associated",10,30,NA,13.79,6.34,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found over rubble on outer reef slopes up to at least 30 m depth (Ref. 31269).  Closely related to <i>C. flavidorsalis</i> and females look almost identical (Ref. 48636)."
"124","Cirrhilabrus aurantidorsalis",59628,"LC","High","fusiform / normal","reef-associated",10,25,NA,18.38,10,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in small groups along reef edges with rubble patches in depths to about 25 m.  Juveniles in small groups in shallower depths (Ref. 48636).  Minimum depth from Ref. 58018."
"125","Cirrhilabrus balteatus",25760,"DD","High","fusiform / normal","reef-associated",7,22,NA,18.38,10,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits lagoon and seaward reefs, above coral, rubble or algae.  Feeds on zooplankton (Ref. 9710)."
"126","Cirrhilabrus bathyphilus",59880,"LC","High","fusiform / normal","reef-associated",60,217,NA,16.55,7.6,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Benthic species which inhabits coral reef (Ref. 75154).  Minimum depth from Ref. 58018."
"127","Cirrhilabrus beauperryi",64182,"LC","High","short and / or deep","reef-associated",5,32,NA,19.49,8.51,NA,NA,NA,NA,NA,"never/rarely",NA,"Found solitary or in groups in rubble areas near lagoons and seaward slopes (Ref. 90102)."
"128","Cirrhilabrus blatteus",25759,"LC","High","fusiform / normal","reef-associated",40,50,NA,25.07,16,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found 1-2 m above rock and coral bottoms and feeds on zooplankton.  Males territorial and haremic."
"129","Cirrhilabrus brunneus",63981,"DD","High","short and / or deep","reef-associated",30,60,NA,10,4.36,NA,NA,NA,NA,NA,"never/rarely",NA,"Sighted in a habitat characterised by a steep slope beginning in relatively deep water; about 10 individuals, including the holotype, were observed at 40 m, on a flat to gently sloping rubble bottom along the upper edge of a vertical drop-off (Ref. 75880)."
"130","Cirrhilabrus cenderawasih",63948,"LC","High","fusiform / normal","reef-associated",22,60,NA,14.21,6.51,NA,NA,NA,NA,NA,"never/rarely",NA,"This species is common on sheltered seaward reefs, primarily on the inner and eastern portions of the Cenderawasih Bay at depths between about 22 to 60 m, although it is more abundant below about 35 m.  Observed to be in groups of about 10 to 20 individuals, including one to five males, and were typically encountered on rubble slopes or on rubble substrates at the base of slopes. Apparently feeds on zooplankton, which is typical for the genus, at a short distance above the bottom (Ref. 75881)."
"131","Cirrhilabrus claire",59481,"LC","High","fusiform / normal","reef-associated",55,100,NA,19.02,8.4,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found in areas with strong current (Ref. 41654)."
"132","Cirrhilabrus condei",54179,"LC","High","fusiform / normal","reef-associated",5,70,NA,14.62,8,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs inshore (Ref. 75154).  Relatively common on sloping rubble bottoms (Ref. 31120)."
"133","Cirrhilabrus cyanopleura",5106,"DD","High","fusiform / normal","reef-associated",2,30,NA,29.45,15,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Forms aggregations 1 to 2 m above coral or rocky bottoms along edges of lagoon, channel, and outer reef slopes.  Feeds on zooplankton in the water column.  Sometimes form large schools (Ref. 48636)."
"134","Cirrhilabrus earlei",59510,"LC","High","fusiform / normal","reef-associated",60,92,NA,15.01,6.91,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits mixed coral, rubble, and sand slopes along the bases of steep protected seaward reefs (Ref. 37816)."
"135","Cirrhilabrus exquisitus",5614,"DD","High","fusiform / normal","reef-associated",6,40,NA,25.64,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs over rubble or low patch reefs in areas of current (Ref. 9823); also on reef edges and around bommies with rubble zones (Ref. 48636); often in moderately large groups and mixed sex during feeding on zooplankton well above the substrate.  Males often display to each other (Ref. 48636). Reported to be associated with the mushroom <i>Heliofungia actiniformis</i> (Ref. 91291).  Feeds on zooplankton in the water column (Ref. 9823)."
"136","Cirrhilabrus filamentosus",10615,"DD","High","fusiform / normal","reef-associated",10,35,NA,14.62,8,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Found in deep coastal slopes and is known from deep water trawls, but also lives in shallow muddy estuaries.  Usually in small groups of juveniles, females and a single large males.  Mixes with other species of <i>Cirrhilabrus</i> or with <i>Paracheilinus</i> to feed above substrate on zooplankton.  A spectacular species during display and can change from normal to nuptial in seconds, and back again (Ref. 48636)."
"137","Cirrhilabrus flavidorsalis",46517,"LC","High","fusiform / normal","reef-associated",6,40,NA,12.01,6.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits finely branching corals on protected coral and rubble slopes.  Occurs in aggregations (Ref. 37816)."
"138","Cirrhilabrus humanni",66867,"N.E.","High","fusiform / normal","reef-associated",10,25,NA,12.47,5.45,NA,NA,NA,NA,NA,"never/rarely",NA,"Found in gradual rubble slope next to shore at depths of 10-18 m (Ref. 90102)."
"139","Cirrhilabrus joanallenae",60740,"DD","High","fusiform / normal","pelagic-neritic",12,40,NA,15.01,8.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"A group of 10-15 individuals were sighted and observed on rubble bottom at the base of a moderate slope.  Observed twice during late afternoon where males were chasing females and engaging in courtship displays in which dorsal and pelvic fins were fully erect (Ref. 44110).  Often exported from Bali in the aquarium trade.  Appears to be undescribed, closely related to <i>C. rubriventralis</i> from the Red Sea (Ref. 48636)."
"140","Cirrhilabrus johnsoni",25762,"LC","High","fusiform / normal","reef-associated",18,28,NA,11.03,6,4.7,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found over dense algal beds of deep lagoons.  Feeds on zooplankton 1-2 m above the bottom (Ref. 9710)."
"141","Cirrhilabrus jordani",7768,"LC","High","fusiform / normal","reef-associated",5,186,NA,18.38,10,NA,NA,"of no interest",NA,NA,"commercial","based mainly on capture","Inhabits seaward reefs, in aggregations above at base of drop-offs (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on zooplankton 1-2 m above the bottom (Ref. 9710).  Minimum depth from Ref. 27115."
"142","Cirrhilabrus katherinae",7582,"LC","High","fusiform / normal","reef-associated",10,40,NA,15.85,7.1,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Known at depths ranging from 10 to at least 40 m at exposed outer reef areas than in lagoons or harbors.  Occurs in aggregations."
"143","Cirrhilabrus katoi",57798,"LC","High","fusiform / normal","demersal",20,40,NA,16.21,7.51,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Observations at Kashiwa-jima Island and in adjacent waters showed the species to form aggregations comprising one or two males and several females, pairs, or solitary to several females.  In some cases, single male appeared to maintain harems of several females.  This species often forms aggregations with <i>Cirrhilabrus cyanopleura</i>, <i>C. lunatus</i>, <i>C. rubrimarginatus</i> and <i>C. temminckii</i>, over rocky substrata (Ref. 36346)."
"144","Cirrhilabrus laboutei",13023,"LC","High","fusiform / normal","reef-associated",7,55,NA,21.88,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found over rubble patches of seaward and back reef slopes (Ref. 9710)."
"145","Cirrhilabrus lanceolatus",7583,"LC","High","fusiform / normal","reef-associated",42,60,NA,20.13,8.8,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Occurs along steep seaward reefs (Ref. 37816).  Specimens collected at 42 and 60 m (Ref. 1692)."
"146","Cirrhilabrus lineatus",13027,"LC","High","fusiform / normal","reef-associated",20,55,NA,21.88,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits clear outer reef slopes (Ref. 9710)."
"147","Cirrhilabrus lubbocki",13041,"LC","High","fusiform / normal","reef-associated",4,45,NA,14.62,8,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs in outer reefs over bottom of coral rubble or heads of small finely branched coral.  Feeds on zooplankton.  Usually occurs in moderately large groups in depths of about 20-25 m (Ref. 48636)."
"148","Cirrhilabrus lunatus",7584,"LC","High","fusiform / normal","reef-associated",30,55,NA,19.49,8.49,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Collected at depths ranging from 32 to 45 m on dead coral and rubble substratum."
"149","Cirrhilabrus luteovittatus",17451,"LC","High","fusiform / normal","reef-associated",7,30,NA,21.88,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in small groups over lagoon patch reefs (Ref. 1602).  Benthopelagic over coral and rubble (Ref. 58302).  Feeds on zooplankton in the water column (Ref. 9710)."
"150","Cirrhilabrus marjorie",61859,"LC","High","fusiform / normal","reef-associated",20,50,NA,12.93,5.79,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely","",NA
"151","Cirrhilabrus melanomarginatus",7585,"LC","High","fusiform / normal","reef-associated",6,40,NA,26.72,13,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Usually occurs over rocky bottoms."
"152","Cirrhilabrus morrisoni",59637,"LC","High","fusiform / normal","reef-associated",23,35,NA,12.47,5.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs inshore (Ref. 75154).  Common over flat bottoms covered with dense <i>Halimeda</i> (Ref. 31119) at depths 23-35 m.  Forms mixed aggregations with an undescribed <i>Paracheilinus</i>"
"153","Cirrhilabrus nahackyi",66424,"N.E.","High",NA,"reef-associated",NA,NA,NA,19.03,NA,NA,NA,NA,NA,NA,"never/rarely","",NA
"154","Cirrhilabrus naokoae",64878,"N.E.","High","fusiform / normal","reef-associated",NA,NA,NA,13.37,6,NA,NA,NA,NA,NA,"never/rarely","",NA
"155","Cirrhilabrus punctatus",13028,"LC","High","fusiform / normal","reef-associated",2,35,NA,23.16,13,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Found over coral or rubble of shallow protected reefs, occasionally in exposed areas (Ref. 9710)."
"156","Cirrhilabrus pylei",54185,"LC","High","fusiform / normal","reef-associated",76,82,NA,15.77,9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Appear to be restricted to very deep water.  Shallowest seen is 55 m (Ref. 48636).  Found in sloping rubble bottoms (Ref. 41819)."
"157","Cirrhilabrus randalli",25031,"LC","High",NA,"reef-associated",10,40,NA,19.49,8.45,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits rubble bottoms (Ref. 11903) and coral reef (Ref. 75154)."
"158","Cirrhilabrus rhomboidalis",25763,"DD","High","fusiform / normal","reef-associated",NA,40,NA,15.01,8.5,6.7,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits steep outer reef slopes near sand and rubble bottoms.  Feeds on zooplankton in the water column."
"159","Cirrhilabrus roseafascia",25026,"LC","High","fusiform / normal","reef-associated",30,100,NA,18.38,10,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Aggregate on coral reefs or rocky or rubble bottoms."
"160","Cirrhilabrus rubrimarginatus",7586,"LC","High","fusiform / normal","reef-associated",25,52,NA,26.05,12.2,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Found in deep coastal to outer reef drop-offs and steep slopes.  Occurs over rubble or sandy bottoms with small isolated patch reefs of low profile.  Juveniles solitary among large rubble, usually in 2-30 m depth.  Adults in loose aggregations in moderate depths, usually 40 m or more around patch reef (Ref. 48636)."
"161","Cirrhilabrus rubripinnis",13042,"LC","High","fusiform / normal","reef-associated",2,40,NA,16.13,9.1,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs over rubble or low patch reefs in areas of current.  Occurs in small groups, each with a single male dominating (Ref. 48636).  Feeds on zooplankton in the water column.  Collected using rotenone."
"162","Cirrhilabrus rubrisquamis",25030,"DD","High","fusiform / normal","reef-associated",41,48,NA,15.39,7.2,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"163","Cirrhilabrus rubriventralis",12781,"LC","High","fusiform / normal","reef-associated",3,43,NA,13.79,7.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits fringing reefs, over coral or rubble bottoms (Ref. 9710).  Feeds on zooplankton in the water column (Ref. 9710)."
"164","Cirrhilabrus sanguineus",58168,"LC","High","fusiform / normal","demersal",NA,NA,NA,14.62,6.7,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"165","Cirrhilabrus scottorum",12728,"LC","High","fusiform / normal","reef-associated",3,40,NA,23.16,13,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","More common in outer reef areas than sheltered lagoon reefs.  Usually seen in small groups feeding a short distance above the bottom on zooplankton.  These groups are composed mainly of females and juveniles.  Males in courtship, actively swim up to  3 m or more above the bottom with fins fully erect."
"166","Cirrhilabrus solorensis",60815,"DD","High","fusiform / normal","reef-associated",5,35,NA,20.43,11,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found in coastal to outer reef lagoons on rubble and coral habitats (Ref. 48636)."
"167","Cirrhilabrus temminckii",5484,"DD","High","fusiform / normal","reef-associated",3,35,NA,22.58,9.9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found over loose rubble in seaward reefs (Ref. 9710).  Forms aggregations to feed on zooplankton."
"168","Cirrhilabrus tonozukai",59640,"DD","High","fusiform / normal","demersal",15,40,NA,13.79,7.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs on open hard-bottom substrates with algae and sparse coral growth, usually in strong current zones.  Juveniles and females in small groups, sometimes with several males of which largest is dominating (Ref. 48636)."
"169","Cirrhilabrus walindi",54193,"LC","High","fusiform / normal","reef-associated",20,65,NA,12.93,7,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"170","Cirrhilabrus walshi",59511,"LC","High","fusiform / normal","reef-associated",37,46,NA,13.79,6.28,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"171","Clepticus africanus",60808,"DD","Medium",NA,"demersal",NA,NA,NA,42.54,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"172","Clepticus brasiliensis",60809,"LC","Medium",NA,"demersal",5,25,NA,42.54,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"173","Clepticus parrae",3656,"LC","Medium","fusiform / normal","reef-associated",8,100,NA,34.51,30,22,320,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits seaward reef slopes; occasionally on shallow patch reefs (Ref. 9710).  Found in large midwater aggregations feeding on plankton (Ref. 9710), small jellyfishes, pteropods, pelagic tunicates and various invertebrate larvae (Ref. 13442).  Form leks during breeding (Ref. 55367).  Also caught with beach nets (Ref. 5217)."
"174","Conniella apterygia",25764,"VU","High","Elongated","reef-associated",30,40,NA,14.62,8,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits steep outer reef slopes over rubble with patches of live coral (Ref. 9710)."
"175","Coris atlantica",58407,"LC","Medium","fusiform / normal","reef-associated",NA,NA,NA,46.33,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"176","Coris auricularis",25769,"LC","Medium","fusiform / normal","reef-associated",NA,45,NA,43,40,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits shallow rocky and coral reefs with sand patches.  Juveniles and females act as cleaners (Ref. 9710)."
"177","Coris aurilineata",13029,"LC","High","fusiform / normal","reef-associated",3,10,NA,23.86,14,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"A shallow-water species inhabiting rubble and sandy bottoms with algal cover (Ref. 2334).  Often encountered in small groups (Ref. 33411)."
"178","Coris aygula",5624,"LC","Very low","fusiform / normal","reef-associated",2,30,NA,72.31,120,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs in the vicinity of sand or rubble patches of exposed outer reef flats, lagoon reefs, and seaward reefs (Ref. 1602), often in semi-exposed surge zones (Ref. 48636).  Adults solitary.  Juveniles common in shallow tide pools (Ref. 30573).  Feeds mainly on hard-shelled invertebrates including crustaceans, mollusks and sea urchins (Ref. 9823).  Minimum depth reported from Ref. 27115.  Randall (1999, Ref. 33411) question identity of specimens exceeding 70 cm."
"179","Coris ballieui",60816,"LC","Medium","fusiform / normal","reef-associated",20,146,NA,34.51,30,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Inhabits sand, rubble (Ref. 9710, 58302) and rocky areas (Ref. 58302).  Benthopelagic (Ref. 58302)."
"180","Coris batuensis",25688,"LC","High","fusiform / normal","reef-associated",2,30,NA,26.31,17,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Inhabits clear lagoon and seaward reefs to over 15 m (Ref. 9710) and nearby sand-rubble bottoms at 2-30 m, solitarily or in small groups (Ref. 90102).  Feeds on small crabs and gastropods."
"181","Coris bulbifrons",12729,"VU","Low","fusiform / normal","reef-associated",NA,NA,NA,56.84,60,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits shallow rocky and coral reefs (Ref. 9710); in shallow waters, generally in less than 20 m; usually in small groups with a large male dominating; with the young being collected in tide pools (Ref. 33411).  Feeds mainly on gastropods and pelecypods; also on crabs (Ref. 9710)."
"182","Coris caudimacula",8026,"LC","Medium","fusiform / normal","reef-associated",1,57,NA,28.88,20,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found usually in sandy or algal-rich areas near reefs or in seagrass beds.  Feeds on amphipods, tanaids, pelecypods, brachyuran crabs, gastropods and polychaetes (Ref. 33411)."
"183","Coris centralis",55260,"LC","High",NA,"reef-associated",4,46,NA,21.17,9.16,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Relatively common in sand and low-profile patch reefs.  Courting males raise the black anterior part of their dorsal fin (Ref. 33411)."
"184","Coris cuvieri",52844,"LC","Medium","fusiform / normal","reef-associated",2,50,NA,37.89,38,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits exposed outer reef flats and lagoon and seaward reefs, in areas of mixed sand, coral and rubble (Ref. 9710).  Juveniles occur in small tide pools, exposed reef flats with algae-rubble.  Generally solitary (Ref. 5213).  Feeds mainly on hard-shelled prey, including crustaceans, mollusks and sea urchins (Ref. 5374).  Turns over rocks to prey on hiding invertebrates (Ref. 11441).  Young look very different (Ref. 1623)."
"185","Coris debueni",55262,"LC","Medium","fusiform / normal","reef-associated",1,60,NA,42.17,27,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in areas of mixed sand and rocky substratum; juveniles found in tide pools, but may occur in deeper waters.  Stomach and gut contents have gastropods (mainly <i>Strombus maculatus</i>), pelecypods (with mytilid and <i>Lima</i>), ophiuroids (<i>Ophiocoma</i>), hermit crabs (<i>Pagurus pascuensis</i>), crabs (with <i>Trapezia</i>), and echinoids; with mollusks as the major prey items (Ref. 33411)."
"186","Coris dorsomacula",6657,"LC","Medium","fusiform / normal","reef-associated",2,40,NA,37.89,38,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found in coastal to outer reef habitats in deep gutters or along reef margins (Ref. 48636).  Inhabits rocky and coral reefs, in areas with rubble, weed and sand (Ref. 9710).  Found solitary (Ref. 90102)."
"187","Coris flavovittata",7827,"LC","Low","fusiform / normal","reef-associated",1,98,NA,59.57,50.8,NA,4620,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits reefs with sand and rubble areas (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on sea urchins, heart urchins, bivalves, gastropods, brittle stars, crabs, hermit crabs and polychaetes.  Protogynous (Ref. 55080).  Eaten raw, dried and salted, baked or broiled (Ref. 7364)."
"188","Coris formosa",7736,"LC","Low","fusiform / normal","reef-associated",NA,NA,NA,55.25,60,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults found in weed, rock and coral areas; juveniles in shallow tide pools (Ref. 30573).  Generally solitary (Ref. 5213).  Feeds mainly on hard-shelled prey, including crustaceans, mollusks and sea urchins (Ref. 5374).  Young very different (Ref. 1623)."
"189","Coris gaimard",5625,"LC","Medium","fusiform / normal","reef-associated",1,50,NA,39.33,40,20,NA,"commercial","very high","Very questionable: based on ex-vessel price for species in this family","public aquariums","based mainly on capture","A solitary species (Ref. 90102) found in areas of mixed coral, sand and rubble of exposed outer reef flats, lagoon and seaward reefs (Ref. 1602, 48636).  Benthopelagic (Ref. 58302).  Feeds mainly on mollusks, crabs, and hermit crabs, and occasionally on tunicates and forams (Ref. 1602)."
"190","Coris hewetti",55344,"LC","High","fusiform / normal","reef-associated",1,40,NA,28.13,13.9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found on rubble bottom or substrates with a mixture of sand and rock.  Feeds on small benthis invertebrates (Ref. 89972). During courtship, the male roam over a wide area; erect its dorsal fin, compress and expand the caudal fin, and changes its color (Ref. 33411)."
"191","Coris julis",58,"LC","Medium","fusiform / normal","reef-associated",0,120,7,38.53,30,20,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","","Occurs in the littoral zone, near rocks and eelgrass beds.  Usually found between 1-60 m, but old males stay in deeper water.  Found in deeper waters during winter.  Sometimes solitary, among rocks, often with numerous specimens in its immediate vicinity.  Buries itself in sand at night or when frightened.  Feeds on small gastropods, sea urchins, shrimps, worms, isopods and amphipods.  Sexually mature when 1 year old.  Protogynous species; females change sex to become males; specimen above 18 cm length are all males (Ref. 35388).  Pelagic eggs (Ref. 4742)."
"192","Coris latifasciata",66974,"N.E.","High","fusiform / normal","reef-associated",10,28,NA,21.55,9.35,NA,NA,"",NA,NA,"never/rarely","",NA
"193","Coris marquesensis",55347,"LC","Medium","fusiform / normal","reef-associated",NA,30,NA,38.25,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Feeds on benthic invertebrates (Ref. 89972)."
"194","Coris musume",61752,"LC","Medium",NA,"reef-associated",NA,NA,NA,46.33,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"195","Coris nigrotaenia",46462,"DD","Medium","fusiform / normal","reef-associated",2,20,NA,41.59,43.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found in exposed rocky shores."
"196","Coris picta",7183,"LC","Medium",NA,"reef-associated",NA,NA,NA,31.97,25,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits fairly deep sandy bottoms around rocky reefs."
"197","Coris pictoides",5107,"LC","High","fusiform / normal","reef-associated",9,55,NA,24.47,15,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Common around small coral heads in silty sand-rubble areas.  Generally found at depths of more than 20 m (Ref. 33411).  Occurs in small groups on sandy or muddy substrates along reef margins or on soft bottom.  Enters shallow estuaries as well (Ref. 48636)."
"198","Coris roseoviridis",55349,"LC","Medium","fusiform / normal","reef-associated",12,58,NA,34.64,19.8,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"199","Coris sandeyeri",12793,"LC","Medium","fusiform / normal","reef-associated",NA,60,NA,31.97,25,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Feeds mainly on small benthic invertebrates like ophiuroids, chitons, amphipods, and small gastropods.  Adults feed by rummaging on the bottom while juveniles and sub-adults are facultative cleaner symbionts and pick parasites from the bodies of other fish.  They also feed on benthic organisms (Ref. 26966)."
"200","Coris variegata",5485,"LC","Medium","fusiform / normal","reef-associated",NA,10,NA,28.88,20,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs often on sand and rubble substrata in coral reef areas (Ref. 33411).  Benthic predator (Ref. 33482)."
"201","Coris venusta",7826,"LC","Medium","fusiform / normal","reef-associated",2,10,NA,28.13,19.3,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Common in shallow sand and rubble areas (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on bivalves, gastropods, crabs, sea urchins, heart urchins, hermit crabs, shrimps, polychaetes, amphipods, isopods, chitons and foraminiferans (Ref. 33411)."
"202","Cryptotomus roseus",3674,"LC","High","fusiform / normal","reef-associated",NA,60,NA,11.03,13,10,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits seagrass beds and weedy areas with sand (Ref. 9710).  Feeds on seagrasses (Ref. 9710).  Buries in the sand to sleep in a mucus tube (Ref. 9710).  Protogynous hermaphrodite (Ref. 55367)."
"203","Ctenolabrus rupestris",61,"LC","Medium","fusiform / normal","reef-associated",1,50,8,32.5,18,11,NA,"subsistence fisheries","very high","Very questionable: based on ex-vessel price for species in this family","public aquariums","based mainly on capture","On rocky, weed-covered shores (1-50 m); larger specimens deeper than young.  Feed on bryozoans, crustaceans and gastropods (Ref. 3397).  Spawning takes place in summer when the male defends a territory (Ref. 35388).  Used in salmon culture as cleaner fish (Helmut Tethmeyer, pers. comm.)."
