"","sciname","FoodI","FoodII","FoodIII","Commoness","PredatorStage","SpecCode"
"287","Chromis nitida","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",9225
"288","Chromis notata","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",12425
"289","Chromis opercularis","plants","other plants","benthic algae/weeds",19,"juv./adults",12427
"290","Chromis opercularis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",12427
"291","Chromis ovalis","plants","other plants","benthic algae/weeds",19,"juv./adults",7818
"292","Chromis ovalis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",7818
"293","Chromis ovatiformes","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",6927
"294","Chromis pamae","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",26693
"295","Chromis pelloura","plants","other plants","benthic algae/weeds",19,"juv./adults",12428
"296","Chromis pelloura","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",12428
"297","Chromis pembae","plants","other plants","benthic algae/weeds",19,"juv./adults",12429
"298","Chromis pembae","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",12429
"299","Chromis punctipinnis","plants","other plants","benthic algae/weeds",19,"juv./adults",3646
"300","Chromis punctipinnis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",3646
"301","Chromis retrofasciata","plants","other plants","benthic algae/weeds",19,"juv./adults",5676
"302","Chromis retrofasciata","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5676
"303","Chromis scotochiloptera","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",12431
"304","Chromis scotti","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",3647
"305","Chromis ternatensis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5677
"306","Chromis trialpha","plants","other plants","benthic algae/weeds",19,"juv./adults",12432
"307","Chromis trialpha","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",12432
"308","Chromis vanderbilti","zooplankton","jellyfish/hydroids","jellyfish/hydroids",NA,"juv./adults",5678
"309","Chromis vanderbilti","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5678
"310","Chromis vanderbilti","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",5678
"311","Chromis verater","zooplankton","jellyfish/hydroids","jellyfish/hydroids",NA,"juv./adults",7819
"312","Chromis viridis","plants","other plants","benthic algae/weeds",19,"juv./adults",5679
"313","Chromis viridis","plants","phytoplankton","n.a./other phytoplankton",NA,"juv./adults",5679
"314","Chromis viridis","zooplankton","fish (early stages)","fish eggs/larvae",60,"adults",5679
"315","Chromis viridis","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",20,"adults",5679
"316","Chromis viridis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5679
"317","Chromis viridis","zooplankton","plank. crust.","mysids",20,"adults",5679
"318","Chromis viridis","zooplankton","plank. crust.","plank. copepods",100,"adults",5679
"319","Chromis viridis","zooplankton","plank. crust.","plank. copepods",100,"adults",5679
"320","Chromis viridis","zooplankton","plank. crust.","n.a./other plank. crustaceans",20,"adults",5679
"321","Chromis weberi","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5680
"322","Chromis westaustralis","plants","other plants","benthic algae/weeds",19,"juv./adults",12433
"323","Chromis westaustralis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",12433
"324","Chromis xanthochira","plants","other plants","benthic algae/weeds",19,"juv./adults",5681
"325","Chromis xanthochira","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5681
"326","Chromis xanthura","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5682
"327","Chromis xutha","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",12437
"328","Chrysiptera annulata","plants","other plants","benthic algae/weeds",65,"juv./adults",12438
"329","Chrysiptera annulata","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",12438
"330","Chrysiptera biocellata","plants","other plants","benthic algae/weeds",NA,"juv./adults",5693
"331","Chrysiptera brownriggii","plants","other plants","benthic algae/weeds",65,"juv./adults",5697
"332","Chrysiptera brownriggii","zoobenthos","benth. crust.","n.a./other benth. crustaceans",20,"juv./adults",5697
"333","Chrysiptera caeruleolineata","plants","other plants","benthic algae/weeds",19,"juv./adults",5694
"334","Chrysiptera caeruleolineata","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",5694
"335","Chrysiptera caeruleolineata","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5694
"336","Chrysiptera caeruleolineata","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",5694
"337","Chrysiptera cyanea","plants","other plants","benthic algae/weeds",19,"juv./adults",5695
"338","Chrysiptera cyanea","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5695
"339","Chrysiptera cymatilis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",60765
"340","Chrysiptera flavipinnis","plants","other plants","benthic algae/weeds",19,"juv./adults",11966
"341","Chrysiptera flavipinnis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",11966
"342","Chrysiptera glauca","nekton","finfish","bony fish",3,"juv./adults",5696
"343","Chrysiptera glauca","plants","other plants","benthic algae/weeds",NA,"juv./adults",5696
"344","Chrysiptera glauca","plants","other plants","benthic algae/weeds",NA,"juv./adults",5696
"345","Chrysiptera glauca","zoobenthos","insects","insects",3,"juv./adults",5696
"346","Chrysiptera glauca","zoobenthos","benth. crust.","amphipods",3,"juv./adults",5696
"347","Chrysiptera glauca","zoobenthos","benth. crust.","crabs",6,"juv./adults",5696
"348","Chrysiptera glauca","zoobenthos","benth. crust.","isopods",3,"juv./adults",5696
"349","Chrysiptera glauca","zoobenthos","benth. crust.","shrimps/prawns",28,"juv./adults",5696
"350","Chrysiptera glauca","zoobenthos","mollusks","gastropods",3,"juv./adults",5696
"351","Chrysiptera glauca","zoobenthos","worms","polychaetes",3,"juv./adults",5696
"352","Chrysiptera glauca","zooplankton","fish (early stages)","fish eggs/larvae",6,"juv./adults",5696
"353","Chrysiptera hemicyanea","plants","other plants","benthic algae/weeds",NA,"juv./adults",6919
"354","Chrysiptera hemicyanea","plants","phytoplankton","n.a./other phytoplankton",NA,"juv./adults",6919
"355","Chrysiptera hemicyanea","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",6919
"356","Chrysiptera kuiteri","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",61078
"357","Chrysiptera oxycephala","plants","other plants","benthic algae/weeds",19,"juv./adults",5698
"358","Chrysiptera oxycephala","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5698
"359","Chrysiptera parasema","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",12448
"360","Chrysiptera rex","plants","other plants","benthic algae/weeds",NA,"juv./adults",5699
"361","Chrysiptera rollandi","plants","other plants","benthic algae/weeds",19,"juv./adults",5486
"362","Chrysiptera rollandi","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5486
"363","Chrysiptera sinclairi","plants","other plants","benthic algae/weeds",19,"juv./adults",12449
"364","Chrysiptera sinclairi","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",12449
"365","Chrysiptera springeri","plants","other plants","benthic algae/weeds",19,"juv./adults",12450
"366","Chrysiptera springeri","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",12450
"367","Chrysiptera starcki","plants","other plants","benthic algae/weeds",19,"juv./adults",6601
"368","Chrysiptera starcki","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",6601
"369","Chrysiptera talboti","plants","other plants","benthic algae/weeds",19,"juv./adults",5700
"370","Chrysiptera talboti","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5700
"371","Chrysiptera taupou","plants","other plants","benthic algae/weeds",19,"juv./adults",12451
"372","Chrysiptera taupou","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",12451
"373","Chrysiptera traceyi","plants","other plants","benthic algae/weeds",NA,"juv./adults",5701
"374","Chrysiptera traceyi","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5701
"375","Chrysiptera tricincta","plants","other plants","benthic algae/weeds",19,"juv./adults",6602
"376","Chrysiptera tricincta","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",6602
"377","Chrysiptera unimaculata","plants","other plants","benthic algae/weeds",NA,"juv./adults",5702
"378","Dascyllus albisella","plants","other plants","benthic algae/weeds",19,"juv./adults",7816
"379","Dascyllus albisella","zooplankton","plank. crust.","mysids",NA,"juv./adults",7816
"380","Dascyllus albisella","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",7816
"381","Dascyllus albisella","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",7816
"382","Dascyllus albisella","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",7816
"383","Dascyllus aruanus","nekton","finfish","bony fish",NA,"juv./adults",5110
"384","Dascyllus aruanus","plants","other plants","benthic algae/weeds",19,"juv./adults",5110
"385","Dascyllus aruanus","zooplankton","fish (early stages)","fish eggs/larvae",NA,"juv./adults",5110
"386","Dascyllus aruanus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",5110
"387","Dascyllus aruanus","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",5110
"388","Dascyllus carneus","plants","other plants","benthic algae/weeds",19,"juv./adults",7798
"389","Dascyllus carneus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",7798
"390","Dascyllus marginatus","plants","other plants","benthic algae/weeds",19,"juv./adults",11985
"391","Dascyllus marginatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",11985
"392","Dascyllus melanurus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5111
"393","Dascyllus melanurus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5111
"394","Dascyllus melanurus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",5111
"395","Dascyllus melanurus","zoobenthos","benth. crust.","benth. copepods",NA,"recruits/juv.",5111
"396","Dascyllus melanurus","zoobenthos","benth. crust.","ostracods",NA,"juv./adults",5111
"397","Dascyllus melanurus","zoobenthos","cnidarians","hard corals",NA,"juv./adults",5111
"398","Dascyllus melanurus","zoobenthos","sponges/tunicates","ascidians",NA,"juv./adults",5111
"399","Dascyllus melanurus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5111
"400","Dascyllus melanurus","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",5111
"401","Dascyllus reticulatus","plants","other plants","benthic algae/weeds",67,"adults",5113
"402","Dascyllus reticulatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",33,"adults",5113
"403","Dascyllus reticulatus","zooplankton","plank. crust.","mysids",33,"adults",5113
"404","Dascyllus reticulatus","zooplankton","plank. crust.","plank. copepods",100,"adults",5113
"405","Dascyllus reticulatus","zooplankton","plank. crust.","plank. copepods",100,"adults",5113
"406","Dascyllus reticulatus","zooplankton","fish (early stages)","fish eggs/larvae",67,"adults",5113
"407","Dascyllus reticulatus","zooplankton","plank. crust.","n.a./other plank. crustaceans",67,"adults",5113
"408","Dascyllus trimaculatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5112
"409","Dascyllus trimaculatus","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",5112
"410","Dascyllus trimaculatus","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",5112
"411","Dascyllus trimaculatus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",5112
"412","Dascyllus trimaculatus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",5112
"413","Dischistodus chrysopoecilus","plants","other plants","benthic algae/weeds",NA,"juv./adults",6553
"414","Dischistodus fasciatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",9982
"415","Dischistodus melanotus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5703
"416","Dischistodus perspicillatus","detritus","detritus","debris",25,"juv./adults",5704
"417","Dischistodus perspicillatus","plants","other plants","benthic algae/weeds",65,"juv./adults",5704
"418","Dischistodus prosopotaenia","detritus","detritus","debris",NA,"recruits/juv.",6608
"419","Dischistodus prosopotaenia","plants","other plants","benthic algae/weeds",NA,"juv./adults",6608
"420","Dischistodus prosopotaenia","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"recruits/juv.",6608
"421","Dischistodus prosopotaenia","zoobenthos","sponges/tunicates","sponges",NA,"recruits/juv.",6608
"422","Dischistodus prosopotaenia","zooplankton","plank. crust.","plank. copepods",NA,"recruits/juv.",6608
"423","Dischistodus prosopotaenia","zooplankton","plank. crust.","plank. copepods",NA,"larvae",6608
"424","Dischistodus pseudochrysopoecilus","plants","other plants","benthic algae/weeds",NA,"juv./adults",8242
"425","Hemiglyphidodon plagiometopon","plants","other plants","benthic algae/weeds",NA,"juv./adults",5487
"426","Hypsypops rubicundus","plants","other plants","benthic algae/weeds",NA,"juv./adults",3648
"427","Hypsypops rubicundus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",3648
"428","Hypsypops rubicundus","zoobenthos","cnidarians","n.a./other polyps",NA,"juv./adults",3648
"429","Hypsypops rubicundus","zoobenthos","mollusks","bivalves",NA,"juv./adults",3648
"430","Hypsypops rubicundus","zoobenthos","mollusks","bivalves",NA,"juv./adults",3648
"431","Hypsypops rubicundus","zoobenthos","mollusks","gastropods",NA,"juv./adults",3648
"432","Hypsypops rubicundus","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",3648
"433","Hypsypops rubicundus","zoobenthos","sponges/tunicates","sponges",NA,"juv./adults",3648
"434","Hypsypops rubicundus","zoobenthos","worms","n.a./other annelids",NA,"juv./adults",3648
"435","Hypsypops rubicundus","zooplankton","fish (early stages)","fish eggs/larvae",NA,"juv./adults",3648
"436","Lepidozygus tapeinosoma","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5683
"437","Mecaenichthys immaculatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",12452
"438","Microspathodon bairdii","detritus","detritus","debris",10.65,"juv./adults",12453
"439","Microspathodon bairdii","plants","other plants","benthic algae/weeds",NA,"juv./adults",12453
"440","Microspathodon bairdii","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",20,"juv./adults",12453
"441","Microspathodon chrysurus","plants","other plants","benthic algae/weeds",NA,"juv./adults",1122
"442","Microspathodon dorsalis","detritus","detritus","debris",10.65,"juv./adults",12455
"443","Microspathodon dorsalis","plants","other plants","benthic algae/weeds",NA,"juv./adults",12455
"444","Microspathodon dorsalis","plants","other plants","benthic algae/weeds",NA,"juv./adults",12455
"445","Microspathodon dorsalis","plants","other plants","benthic algae/weeds",NA,"juv./adults",12455
"446","Microspathodon dorsalis","plants","other plants","benthic algae/weeds",NA,"juv./adults",12455
"447","Microspathodon dorsalis","plants","other plants","benthic algae/weeds",NA,"juv./adults",12455
"448","Microspathodon dorsalis","plants","other plants","benthic algae/weeds",NA,"juv./adults",12455
"449","Microspathodon dorsalis","plants","other plants","benthic algae/weeds",NA,"juv./adults",12455
"450","Microspathodon dorsalis","plants","other plants","benthic algae/weeds",NA,"juv./adults",12455
"451","Microspathodon dorsalis","plants","other plants","benthic algae/weeds",19,"juv./adults",12455
"452","Microspathodon dorsalis","plants","phytoplankton","blue-green algae",NA,"juv./adults",12455
"453","Microspathodon dorsalis","plants","phytoplankton","green algae",NA,"juv./adults",12455
"454","Microspathodon dorsalis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",53,"juv./adults",12455
"455","Neoglyphidodon melas","plants","other plants","benthic algae/weeds",NA,"juv./adults",5707
"456","Neoglyphidodon melas","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5707
"457","Neoglyphidodon melas","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5707
"458","Neoglyphidodon nigroris","plants","other plants","benthic algae/weeds",NA,"juv./adults",5708
"459","Neoglyphidodon nigroris","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5708
"460","Neoglyphidodon nigroris","zoobenthos","sponges/tunicates","ascidians",NA,"juv./adults",5708
"461","Neoglyphidodon nigroris","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5708
"462","Neoglyphidodon nigroris","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",5708
"463","Neoglyphidodon oxyodon","plants","other plants","benthic algae/weeds",19,"juv./adults",11988
"464","Neoglyphidodon oxyodon","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",11988
"465","Neoglyphidodon polyacanthus","plants","other plants","benthic algae/weeds",19,"juv./adults",10235
"466","Neoglyphidodon polyacanthus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",10235
"467","Neoglyphidodon thoracotaeniatus","plants","other plants","benthic algae/weeds",19,"juv./adults",6922
"468","Neoglyphidodon thoracotaeniatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",6922
"469","Neopomacentrus anabatoides","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",10224
"470","Neopomacentrus azysron","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",10227
"471","Neopomacentrus filamentosus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",12459
"472","Neopomacentrus fuliginosus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",12460
"473","Neopomacentrus miryae","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",12461
"474","Neopomacentrus nemurus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",12462
"475","Neopomacentrus sindensis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",12463
"476","Neopomacentrus taeniurus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5705
"477","Neopomacentrus violascens","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5706
"478","Neopomacentrus xanthurus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",12464
"479","Nexilosus latifrons","plants","other plants","benthic algae/weeds",NA,"juv./adults",12466
"480","Nexilosus latifrons","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",12466
"481","Nexilosus latifrons","zoobenthos","mollusks","bivalves",NA,"juv./adults",12466
"482","Nexilosus latifrons","zoobenthos","mollusks","bivalves",NA,"juv./adults",12466
"483","Nexilosus latifrons","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",12466
"484","Parma alboscapularis","plants","other plants","benthic algae/weeds",NA,"juv./adults",12465
"485","Parma bicolor","plants","other plants","benthic algae/weeds",65,"juv./adults",12467
"486","Parma bicolor","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",20,"juv./adults",12467
"487","Parma mccullochi","plants","other plants","benthic algae/weeds",65,"juv./adults",12469
"488","Parma mccullochi","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",20,"juv./adults",12469
"489","Parma microlepis","plants","other plants","benthic algae/weeds",65,"juv./adults",12470
"490","Parma microlepis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",20,"juv./adults",12470
"491","Parma occidentalis","plants","other plants","benthic algae/weeds",65,"juv./adults",12471
"492","Parma occidentalis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",20,"juv./adults",12471
"493","Parma oligolepis","plants","other plants","benthic algae/weeds",65,"juv./adults",10239
"494","Parma oligolepis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",20,"juv./adults",10239
"495","Parma polylepis","plants","other plants","benthic algae/weeds",65,"juv./adults",6619
"496","Parma polylepis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",20,"juv./adults",6619
"497","Parma unifasciata","plants","other plants","benthic algae/weeds",65,"juv./adults",12473
"498","Parma unifasciata","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",20,"juv./adults",12473
"499","Parma victoriae","plants","other plants","benthic algae/weeds",65,"juv./adults",12474
"500","Parma victoriae","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",20,"juv./adults",12474
"501","Plectroglyphidodon dickii","detritus","detritus","debris",22,"juv./adults",5709
"502","Plectroglyphidodon dickii","nekton","finfish","n.a./other finfish",22,"juv./adults",5709
"503","Plectroglyphidodon dickii","nekton","finfish","bony fish",NA,"juv./adults",5709
"504","Plectroglyphidodon dickii","plants","other plants","benthic algae/weeds",55,"juv./adults",5709
"505","Plectroglyphidodon dickii","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5709
"506","Plectroglyphidodon imparipennis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"adults",5710
"507","Plectroglyphidodon imparipennis","zoobenthos","worms","polychaetes",NA,"adults",5710
"508","Plectroglyphidodon johnstonianus","plants","other plants","benthic algae/weeds",65,"juv./adults",5711
"509","Plectroglyphidodon johnstonianus","zoobenthos","cnidarians","hard corals",NA,"juv./adults",5711
"510","Plectroglyphidodon johnstonianus","zoobenthos","cnidarians","hard corals",NA,"adults",5711
"511","Plectroglyphidodon lacrymatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5712
"512","Plectroglyphidodon lacrymatus","plants","phytoplankton","diatoms",NA,"juv./adults",5712
"513","Plectroglyphidodon lacrymatus","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",5712
"514","Plectroglyphidodon leucozonus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5713
"515","Plectroglyphidodon phoenixensis","plants","other plants","benthic algae/weeds",NA,"juv./adults",5714
"516","Plectroglyphidodon sindonis","plants","other plants","benthic algae/weeds",NA,"juv./adults",7815
"517","Plectroglyphidodon sindonis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",7815
"518","Pomacentrus agassizii","plants","other plants","benthic algae/weeds",65,"juv./adults",12477
"519","Pomacentrus agassizii","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",12477
"520","Pomacentrus albicaudatus","plants","other plants","benthic algae/weeds",65,"juv./adults",12478
"521","Pomacentrus albicaudatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",12478
"522","Pomacentrus albimaculus","plants","other plants","benthic algae/weeds",NA,"juv./adults",10247
"523","Pomacentrus alexanderae","plants","other plants","benthic algae/weeds",NA,"juv./adults",6920
"524","Pomacentrus alexanderae","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",6920
"525","Pomacentrus alexanderae","zoobenthos","mollusks","gastropods",NA,"juv./adults",6920
"526","Pomacentrus alexanderae","zooplankton","fish (early stages)","fish eggs/larvae",NA,"juv./adults",6920
"527","Pomacentrus alexanderae","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6920
"528","Pomacentrus alexanderae","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",6920
"529","Pomacentrus alleni","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",12479
"530","Pomacentrus amboinensis","plants","other plants","benthic algae/weeds",65,"juv./adults",5715
"531","Pomacentrus amboinensis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",5715
"532","Pomacentrus aquilus","plants","other plants","benthic algae/weeds",65,"juv./adults",12480
"533","Pomacentrus aquilus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",12480
"534","Pomacentrus aurifrons","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",61536
"535","Pomacentrus australis","plants","other plants","benthic algae/weeds",NA,"juv./adults",10252
"536","Pomacentrus australis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",10252
"537","Pomacentrus brachialis","plants","other plants","benthic algae/weeds",NA,"juv./adults",5718
"538","Pomacentrus brachialis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5718
"539","Pomacentrus burroughi","plants","other plants","benthic algae/weeds",NA,"juv./adults",5719
"540","Pomacentrus caeruleus","plants","other plants","benthic algae/weeds",19,"juv./adults",12486
"541","Pomacentrus caeruleus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",12486
"542","Pomacentrus chrysurus","plants","other plants","benthic algae/weeds",NA,"recruits/juv.",5721
"543","Pomacentrus chrysurus","plants","other plants","benthic algae/weeds",65,"juv./adults",5721
"544","Pomacentrus chrysurus","zoobenthos","benth. crust.","benth. copepods",NA,"recruits/juv.",5721
"545","Pomacentrus chrysurus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",5721
"546","Pomacentrus coelestis","plants","other plants","benthic algae/weeds",75,"juv./adults",5720
"547","Pomacentrus coelestis","zoobenthos","benth. crust.","benth. copepods",13,"juv./adults",5720
"548","Pomacentrus coelestis","zoobenthos","worms","polychaetes",25,"juv./adults",5720
"549","Pomacentrus coelestis","zooplankton","fish (early stages)","fish eggs/larvae",100,"juv./adults",5720
"550","Pomacentrus coelestis","zooplankton","plank. crust.","plank. copepods",88,"juv./adults",5720
"551","Pomacentrus coelestis","zooplankton","plank. crust.","plank. copepods",88,"juv./adults",5720
"552","Pomacentrus coelestis","zooplankton","fish (early stages)","fish eggs/larvae",13,"juv./adults",5720
"553","Pomacentrus coelestis","zooplankton","plank. crust.","n.a./other plank. crustaceans",50,"juv./adults",5720
"554","Pomacentrus emarginatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5722
"555","Pomacentrus emarginatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5722
"556","Pomacentrus grammorhynchus","plants","other plants","benthic algae/weeds",65,"juv./adults",5723
"557","Pomacentrus grammorhynchus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",5723
"558","Pomacentrus lepidogenys","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",6620
"559","Pomacentrus leptus","plants","other plants","benthic algae/weeds",19,"juv./adults",12494
"560","Pomacentrus leptus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",12494
"561","Pomacentrus melanochir","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",12495
"562","Pomacentrus milleri","plants","other plants","benthic algae/weeds",65,"juv./adults",12496
"563","Pomacentrus milleri","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",12496
"564","Pomacentrus moluccensis","plants","other plants","benthic algae/weeds",65,"juv./adults",5724
"565","Pomacentrus moluccensis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5724
"566","Pomacentrus moluccensis","zooplankton","plank. crust.","plank. copepods",20,"juv./adults",5724
