"","sciname","DepthRangeShallow","DepthRangeDeep","Length","CommonLength","SpecCode"
"503","Thalassoma trilobatum",0,10,30,NA,5649
"504","Thalassoma virens",NA,NA,30,NA,13821
"505","Wetmorella albofasciata",8,42,6,NA,4869
"506","Wetmorella nigropinnata",1,36,8,NA,4870
"507","Wetmorella tanakai",10,30,3.65,NA,64216
"508","Xenojulis margaritaceus",0,NA,10,NA,4871
"509","Xiphocheilus typus",15,85,12,NA,8304
"510","Xyrichtys blanchardi",35,40,21.2,NA,22527
"511","Xyrichtys incandescens",NA,8,NA,NA,59643
"512","Xyrichtys javanicus",NA,NA,NA,NA,56499
"513","Xyrichtys martinicensis",2,21,15,NA,3668
"514","Xyrichtys mundiceps",12,15,14.5,NA,57449
"515","Xyrichtys novacula",1,90,38,20,4581
"516","Xyrichtys rajagopalani",NA,NA,NA,NA,59653
"517","Xyrichtys sanctaehelenae",17,30,23.3,NA,22528
"518","Xyrichtys splendens",3,15,17.5,NA,3669
"519","Xyrichtys victori",NA,NA,15,NA,46579
"520","Xyrichtys wellingtoni",18,20,7.16,NA,59639
"521","Bolbometopon muricatum",1,40,130,70,5537
"522","Calotomus carolinus",1,71,54,NA,4355
"523","Calotomus japonicus",NA,NA,39,NA,4356
"524","Calotomus spinidens",1,72,30,NA,4357
"525","Calotomus viridescens",NA,30,21,NA,4358
"526","Calotomus zonarchus",12,170,33,NA,4359
"527","Cetoscarus bicolor",1,30,90,NA,5538
"528","Cetoscarus ocellatus",1,30,80,NA,66097
"529","Chlorurus atrilunula",1,15,30,NA,7907
"530","Chlorurus bleekeri",3,35,49,NA,4976
"531","Chlorurus bowersi",2,20,40,NA,5542
"532","Chlorurus capistratoides",5,15,40,NA,25677
"533","Chlorurus cyanescens",5,NA,50,NA,7909
"534","Chlorurus enneacanthus",1,7,50,NA,7910
"535","Chlorurus frontalis",10,40,50,38,5547
"536","Chlorurus genazonatus",6,NA,31,NA,14382
"537","Chlorurus gibbus",NA,NA,70,NA,4979
"538","Chlorurus japanensis",1,20,31,NA,4978
"539","Chlorurus microrhinos",1,50,70,49,60479
"540","Chlorurus oedema",1,50,42,NA,8394
"541","Chlorurus perspicillatus",1,71,60.9,NA,7829
"542","Chlorurus rhakoura",1,30,44.2,NA,47069
"543","Chlorurus sordidus",0,50,40,NA,5556
"544","Chlorurus spilurus",NA,NA,NA,NA,66478
"545","Chlorurus strongylocephalus",2,35,70,NA,12833
"546","Chlorurus troschelii",5,25,34.6,NA,4977
"547","Cryptotomus roseus",NA,60,13,10,3674
"548","Hipposcarus harid",1,25,75,35,7906
"549","Hipposcarus longiceps",2,40,60,48,5539
"550","Leptoscarus vaigiensis",1,15,35,NA,4360
"551","Nicholsina denticulata",1,11,32,20,13980
"552","Nicholsina usta collettei",20,50,24,NA,22538
"553","Nicholsina usta usta",1,73,30,18,1151
"554","Scarus altipinnis",1,50,60,41,5540
"555","Scarus arabicus",NA,NA,45,NA,12661
"556","Scarus caudofasciatus",8,40,50,NA,7908
"557","Scarus chameleon",3,30,31,24.8,5543
"558","Scarus chinensis",NA,NA,NA,NA,60439
"559","Scarus coelestinus",5,75,77,50,1152
"560","Scarus coeruleus",3,25,120,35,1153
"561","Scarus collana",1,15,33,NA,14379
"562","Scarus compressus",3,24,68,35,13981
"563","Scarus dimidiatus",1,25,40,NA,4973
"564","Scarus dubius",1,20,35.6,NA,4967
"565","Scarus falcipinnis",6,NA,60,NA,7911
"566","Scarus ferrugineus",1,60,41,25,14380
"567","Scarus festivus",3,30,45,NA,5544
"568","Scarus flavipectoralis",2,40,40,NA,4968
"569","Scarus forsteni",3,30,55,NA,5545
"570","Scarus frenatus",1,25,47,NA,5546
"571","Scarus fuscocaudalis",20,45,25,NA,58508
"572","Scarus fuscopurpureus",2,20,38,NA,14381
"573","Scarus ghobban",1,90,90,30,5548
"574","Scarus globiceps",1,30,45,NA,4970
"575","Scarus gracilis",NA,NA,NA,NA,60441
"576","Scarus guacamaia",3,25,120,70,1155
"577","Scarus hoefleri",1,15,60,40,5018
"578","Scarus hypselopterus",10,30,31,NA,12707
"579","Scarus iseri",3,25,35,18,1154
"580","Scarus koputea",0,18,31,NA,4980
"581","Scarus longipinnis",10,55,40,NA,4981
"582","Scarus maculipinna",3,15,19.05,NA,63577
"583","Scarus niger",0,20,40,NA,5550
"584","Scarus obishime",3,55,70,NA,12831
"585","Scarus oviceps",1,20,35,NA,5551
"586","Scarus ovifrons",NA,NA,78,NA,23512
"587","Scarus perrico",3,36,76,NA,8392
"588","Scarus persicus",NA,NA,50,NA,14383
"589","Scarus prasiognathos",1,25,70,NA,4971
"590","Scarus psittacus",2,25,30,NA,5553
"591","Scarus quoyi",2,18,40,NA,5554
"592","Scarus rivulatus",1,30,40,20,4969
"593","Scarus rubroviolaceus",1,36,70,NA,5555
"594","Scarus russelii",6,15,51,NA,7912
"595","Scarus scaber",1,20,37,NA,7913
"596","Scarus schlegeli",1,50,40,NA,4975
"597","Scarus spinus",2,25,30,NA,4974
"598","Scarus taeniopterus",2,25,35,22,1156
"599","Scarus tricolor",2,25,26.6,17.5,6438
"600","Scarus trispinosus",1,30,35.5,NA,59493
"601","Scarus vetula",3,25,61,32,1157
"602","Scarus viridifucatus",1,15,45,NA,7914
"603","Scarus xanthopleura",3,30,54,NA,5541
"604","Scarus zelindae",NA,NA,33.2,NA,59490
"605","Scarus zufar",NA,8,50,NA,26221
"606","Sparisoma amplum",1,30,39,NA,59491
"607","Sparisoma atomarium",20,55,25,NA,3675
"608","Sparisoma aurofrenatum",2,20,28,20,1158
"609","Sparisoma axillare",1,35,37,NA,59492
"610","Sparisoma choati",2,30,31.4,NA,66403
"611","Sparisoma chrysopterum",1,15,46,25,1159
"612","Sparisoma cretense",20,50,50,30,13025
"613","Sparisoma frondosum",5,45,34.5,NA,61101
"614","Sparisoma griseorubrum",NA,NA,NA,NA,60692
"615","Sparisoma radians",1,12,20,15,3676
"616","Sparisoma rocha",10,25,26.82,NA,65546
"617","Sparisoma rubripinne",1,15,47.8,NA,1160
"618","Sparisoma strigatum",5,20,45,NA,22546
"619","Sparisoma tuiupiranga",5,20,15.4,NA,61816
"620","Sparisoma viride",3,50,64,38,1161
"621","Haletta semifasciata",1,7,29,NA,12836
"622","Heteroscarus acroptilus",1,15,24,NA,12837
"623","Neoodax balteatus",1,22,14,NA,12835
"624","Odax cyanoallix",NA,16,27,NA,12838
"625","Odax pullus",NA,NA,40,NA,12840
"626","Olisthops cyanomelas",1,15,35,NA,12839
"627","Siphonognathus argyrophanes",1,40,40,NA,12841
"628","Siphonognathus attenuatus",15,45,12,NA,12842
"629","Siphonognathus beddomei",1,20,12,NA,12843
"630","Siphonognathus caninis",5,25,10,NA,12844
"631","Siphonognathus radiatus",1,18,18,NA,12845
"632","Siphonognathus tanyourus",1,19,11,NA,12846
